Step,V2I_rate,V2V_Rate,V2V_success,Remaining_V2V_payload
7,"2.43,10.39,1.07,1.5","0.27,0.0,0.9,0.63",0.0,"38461.45,38995.04,37834.77,37707.7"
8,"1.18,1.92,1.81,1.65","0.83,0.44,0.42,0.55",0.0,"37629.28,38559.47,37417.38,37157.0"
9,"1.65,1.53,0.72,1.59","0.55,0.6,0.37,0.58",0.0,"37082.32,37961.54,37047.31,36575.76"
10,"2.0,1.11,1.08,1.76","0.19,0.81,0.82,0.49",0.0,"36888.49,37150.93,36227.6,36090.7"
11,"1.02,2.05,1.39,1.83","0.96,0.37,0.57,0.47",0.0,"35929.38,36778.77,35656.72,35619.94"
12,"2.62,1.77,1.21,3.06","0.23,0.47,0.78,0.18",0.0,"35698.91,36307.8,34875.43,35436.2"
13,"1.48,1.0,0.88,1.94","0.62,0.98,0.82,0.44",0.0,"35078.09,35329.71,34051.77,35000.06"
14,"1.64,3.18,1.44,2.17","0.53,0.06,0.63,0.36",0.0,"34545.06,35269.47,33424.23,34637.43"
15,"1.02,1.86,1.34,1.2","0.88,0.45,0.45,0.82",0.0,"33662.95,34822.52,32972.35,33820.96"
16,"1.14,1.45,0.6,2.82","0.82,0.57,0.13,0.22",0.0,"32838.56,34255.29,32838.26,33600.38"
17,"2.32,1.98,0.98,1.77","0.32,0.39,0.99,0.5",0.0,"32520.57,33861.99,31843.36,33101.54"
18,"1.74,1.02,1.44,2.45","0.49,0.9,0.65,0.29",0.0,"32029.49,32963.14,31195.24,32810.01"
19,"9.47,1.13,1.15,1.13","0.0,0.86,0.66,0.88",0.0,"32029.49,32102.67,30538.68,31932.19"
20,"1.02,1.28,2.2,1.57","0.7,0.74,0.29,0.59",0.0,"31333.62,31357.99,30248.85,31339.57"
21,"1.36,2.01,0.08,1.77","0.7,0.35,0.4,0.5",0.0,"30635.58,31007.55,29849.73,30841.01"
22,"1.64,1.67,1.26,1.54","0.55,0.52,0.62,0.61",0.0,"30082.04,30488.46,29233.0,30233.45"
23,"1.49,2.1,1.84,1.97","0.61,0.37,0.37,0.43",0.0,"29470.3,30118.8,28858.05,29807.06"
24,"1.52,1.14,1.94,2.05","0.61,0.86,0.35,0.4",0.0,"28860.88,29262.65,28504.25,29408.38"
25,"3.41,4.24,1.97,9.32","0.14,0.07,0.38,0.0",0.0,"28722.2,29193.02,28124.93,29408.38"
26,"1.59,1.6,0.99,1.22","0.58,0.43,1.0,0.81",0.0,"28143.31,28759.9,27129.33,28595.85"
27,"1.0,1.64,1.98,1.08","0.99,0.54,0.41,0.91",0.0,"27154.27,28219.33,26723.36,27684.03"
28,"1.47,1.45,2.2,7.2","0.62,0.59,0.01,0.01",0.0,"26530.82,27626.81,26709.72,27674.19"
29,"2.29,0.99,2.06,1.28","0.32,0.98,0.37,0.77",0.0,"26213.5,26646.76,26342.37,26906.66"
30,"2.3,1.82,3.89,2.11","0.3,0.46,0.0,0.35",0.0,"25914.23,26187.85,26342.37,26552.12"
31,"1.44,10.11,3.41,1.36","0.65,0.0,0.01,0.71",0.0,"25263.56,26187.85,26333.14,25837.81"
32,"1.42,1.19,1.48,3.98","0.66,0.8,0.27,0.09",0.0,"24599.85,25382.94,26059.51,25743.25"
33,"3.95,1.1,1.17,2.18","0.1,0.86,0.68,0.36",0.0,"24504.53,24525.78,25381.07,25383.48"
34,"1.54,9.1,1.42,1.47","0.6,0.0,0.65,0.64",0.0,"23906.59,24525.78,24728.29,24740.0"
35,"2.65,1.06,0.89,2.0","0.25,0.91,0.96,0.41",0.0,"23659.87,23612.71,23766.57,24325.17"
36,"1.24,1.71,1.23,1.28","0.79,0.46,0.36,0.77",0.0,"22874.79,23150.6,23404.26,23560.12"
37,"1.96,1.88,1.05,1.18","0.34,0.44,0.89,0.84",0.0,"22532.02,22709.95,22510.62,22717.09"
38,"1.97,1.78,2.03,1.43","0.42,0.48,0.23,0.66",0.0,"22116.24,22230.8,22276.85,22056.03"
39,"2.03,1.48,1.68,2.51","0.39,0.61,0.36,0.28",0.0,"21730.28,21616.42,21915.43,21777.83"
40,"2.1,1.6,1.12,1.29","0.38,0.55,0.84,0.76",0.0,"21352.43,21069.23,21080.2,21021.76"
41,"2.35,1.93,6.5,2.17","0.29,0.19,0.0,0.36",0.0,"21060.22,20876.37,21080.2,20659.78"
42,"1.33,1.66,1.14,1.59","0.71,0.55,0.65,0.58",0.0,"20347.11,20331.37,20434.39,20077.06"
43,"3.42,2.16,1.64,1.44","0.13,0.35,0.42,0.66",0.0,"20215.42,19984.24,20012.41,19412.38"
44,"3.0,2.0,1.35,1.2","0.16,0.17,0.67,0.83",0.0,"20054.31,19810.02,19341.04,18586.92"
45,"1.26,2.22,1.47,1.37","0.6,0.29,0.55,0.7",0.0,"19458.94,19522.17,18793.42,17883.36"
46,"2.36,4.84,1.21,2.48","0.31,0.05,0.75,0.28",0.0,"19152.05,19474.74,18039.29,17598.89"
47,"1.16,1.93,1.32,1.63","0.84,0.36,0.69,0.56",0.0,"18307.71,19110.82,17353.86,17037.43"
48,"2.09,2.1,0.94,15.24","0.38,0.37,0.96,0.0",0.0,"17930.02,18736.58,16394.74,17037.43"
49,"1.66,1.61,1.36,1.59","0.53,0.52,0.69,0.58",0.0,"17397.79,18216.43,15707.7,16452.67"
50,"1.71,1.68,1.87,1.08","0.52,0.13,0.27,0.92",0.0,"16876.26,18088.07,15439.77,15532.66"
51,"1.3,1.51,3.98,1.06","0.57,0.61,0.06,0.94",0.0,"16309.61,17480.21,15382.9,14589.69"
52,"1.1,1.41,1.45,1.0","0.87,0.63,0.62,1.0",0.0,"15440.95,16847.5,14767.29,13589.23"
53,"1.39,1.77,1.33,1.47","0.67,0.49,0.69,0.65",0.0,"14775.09,16353.89,14077.44,12942.61"
54,"1.54,1.55,1.81,1.05","0.54,0.6,0.45,0.95",0.0,"14231.45,15758.72,13628.81,11988.16"
55,"1.46,6.46,2.68,1.23","0.64,0.0,0.22,0.8",0.0,"13589.62,15758.72,13406.18,11189.65"
56,"1.47,2.45,3.83,2.6","0.64,0.27,0.0,0.26",0.0,"12953.38,15490.63,13406.18,10930.7"
57,"2.09,1.21,1.53,1.47","0.38,0.79,0.6,0.64",0.0,"12576.38,14702.88,12809.99,10287.82"
58,"1.01,2.0,2.02,1.84","0.98,0.41,0.37,0.47",0.0,"11599.09,14292.36,12441.43,9816.85"
59,"2.03,8.65,1.42,1.5","0.37,0.0,0.66,0.63",0.0,"11233.78,14292.36,11776.46,9191.54"
60,"1.1,1.71,1.43,1.03","0.9,0.49,0.49,0.97",0.0,"10338.56,13802.74,11284.56,8219.17"
61,"1.25,1.59,1.11,1.42","0.63,0.56,0.83,0.68",0.0,"9705.05,13238.4,10456.23,7543.71"
62,"0.98,1.27,0.99,1.91","0.99,0.76,0.79,0.44",0.0,"8715.58,12475.79,9661.76,7099.86"
63,"1.0,0.75,1.17,1.79","0.98,0.17,0.69,0.49",0.0,"7734.28,12302.42,8971.74,6608.04"
64,"1.0,0.71,0.95,1.04","1.0,0.51,0.88,0.96",0.0,"6738.14,11796.85,8091.12,5651.16"
65,"1.97,1.57,1.07,1.2","0.42,0.58,0.86,0.83",0.0,"6320.85,11218.07,7235.03,4826.06"
66,"1.51,2.01,2.69,1.44","0.6,0.39,0.18,0.67",0.0,"5719.33,10823.49,7053.15,4160.23"
67,"1.17,1.35,1.37,1.47","0.77,0.71,0.64,0.65",0.0,"4945.73,10112.37,6408.26,3513.49"
68,"2.17,1.05,2.23,2.4","0.34,0.9,0.3,0.3",0.0,"4608.68,9210.8,6108.25,3209.57"
69,"2.66,1.28,1.23,3.16","0.24,0.75,0.58,0.17",0.0,"4372.0,8464.39,5527.62,3038.11"
70,"1.97,2.5,1.23,2.18","0.42,0.27,0.52,0.36",0.0,"3955.14,8198.65,5004.89,2679.71"
71,"1.7,1.23,2.11,1.38","0.47,0.79,0.31,0.7",0.0,"3489.66,7406.29,4695.68,1981.95"
72,"1.45,1.26,1.95,2.03","0.65,0.77,0.17,0.4",0.0,"2844.38,6637.12,4527.82,1577.37"
73,"1.85,1.42,1.23,1.27","0.46,0.66,0.73,0.78",0.0,"2380.74,5976.85,3798.08,802.37"
74,"8.67,2.15,2.15,16.3","0.0,0.37,0.33,0.0",0.0,"2380.74,5611.08,3465.64,802.37"
75,"1.01,1.48,0.9,2.8","0.96,0.62,0.98,0.22",0.0,"1421.9,4989.48,2486.39,578.25"
76,"1.44,8.65,2.19,1.05","0.61,0.0,0.34,0.95",0.25,"812.62,4989.48,2149.72,0.0"
77,"1.63,2.31,1.84,13.9","0.54,0.31,0.42,0.0",0.25,"272.43,4684.04,1728.04,0.0"
78,"1.67,10.28,1.2,13.47","0.52,0.0,0.69,0.0",0.5,"0.0,4684.04,1040.59,0.0"
79,"6.54,3.74,1.44,15.0","0.0,0.0,0.58,0.0",0.5,"0.0,4684.04,458.11,0.0"
80,"8.97,1.65,1.02,11.92","0.0,0.55,0.9,0.0",0.75,"0.0,4132.48,0.0,0.0"
81,"9.48,1.03,2.56,13.45","0.0,0.94,0.0,0.0",0.75,"0.0,3190.71,0.0,0.0"
82,"9.09,1.0,2.94,12.11","0.0,0.74,0.0,0.0",0.75,"0.0,2447.83,0.0,0.0"
83,"9.39,1.08,3.83,14.97","0.0,0.9,0.0,0.0",0.75,"0.0,1551.39,0.0,0.0"
84,"8.78,1.46,4.82,15.07","0.0,0.64,0.0,0.0",0.75,"0.0,910.42,0.0,0.0"
85,"7.16,1.04,4.39,14.64","0.0,0.95,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
86,"7.46,9.79,2.9,9.41","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
87,"9.26,9.6,3.32,14.33","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
88,"7.78,7.37,5.22,11.07","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
89,"8.45,1.13,4.74,14.9","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
90,"8.27,4.73,5.15,11.48","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
91,"6.13,7.93,4.56,14.07","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
92,"10.69,10.66,3.37,11.96","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
93,"10.65,9.32,5.19,11.24","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
94,"8.29,6.38,4.3,11.64","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
95,"8.33,7.47,5.33,14.3","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
96,"9.28,7.48,4.88,13.52","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
97,"7.13,5.14,3.52,12.42","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
98,"9.32,8.71,4.18,12.89","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
99,"8.4,8.97,6.32,12.94","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
0,"1.21,1.45,0.68,1.74","0.81,0.63,0.41,0.51",0.0,"41593.74,41766.87,41985.18,41885.45"
1,"1.45,1.15,1.6,2.16","0.63,0.85,0.43,0.37",0.0,"40959.74,40915.12,41552.21,41519.92"
2,"1.37,1.53,1.36,1.31","0.7,0.6,0.55,0.74",0.0,"40260.94,40317.72,41004.38,40777.12"
3,"1.34,1.64,1.18,1.42","0.72,0.52,0.82,0.67",0.0,"39543.32,39799.27,40185.22,40103.51"
4,"1.42,1.88,0.9,1.83","0.67,0.36,0.8,0.48",0.0,"38878.23,39436.47,39385.37,39625.53"
5,"1.24,1.76,1.23,1.18","0.79,0.48,0.76,0.84",0.0,"38086.07,38955.12,38625.9,38790.36"
6,"1.56,1.63,5.35,2.03","0.58,0.55,0.0,0.41",0.0,"37501.92,38404.51,38625.9,38383.91"
7,"1.09,1.29,1.12,1.34","0.9,0.73,0.82,0.73",0.0,"36602.86,37670.5,37805.56,37657.18"
8,"1.39,1.26,1.55,1.05","0.68,0.76,0.58,0.95",0.0,"35919.16,36911.53,37227.32,36709.79"
9,"1.09,1.85,1.46,1.75","0.64,0.19,0.59,0.51",0.0,"35280.3,36721.17,36635.94,36200.79"
10,"1.96,1.94,1.26,1.65","0.43,0.43,0.76,0.55",0.0,"34852.22,36293.35,35872.66,35648.2"
11,"1.62,2.4,2.03,1.5","0.56,0.29,0.21,0.62",0.0,"34295.72,35998.61,35662.09,35023.34"
12,"1.6,1.39,1.39,1.15","0.57,0.56,0.62,0.87",0.0,"33723.53,35439.24,35042.29,34155.92"
13,"3.61,1.58,1.41,2.07","0.01,0.56,0.46,0.39",0.0,"33715.05,34878.54,34585.36,33764.94"
14,"2.09,1.93,1.85,2.25","0.37,0.43,0.34,0.34",0.0,"33340.08,34453.01,34245.99,33423.39"
15,"1.45,1.41,1.3,1.07","0.63,0.58,0.6,0.93",0.0,"32711.89,33875.36,33649.77,32494.22"
16,"2.08,1.38,1.52,2.9","0.33,0.69,0.5,0.21",0.0,"32384.66,33181.9,33151.26,32286.46"
17,"1.79,1.86,1.31,1.7","0.49,0.4,0.72,0.53",0.0,"31898.34,32779.82,32430.98,31757.57"
18,"1.47,1.74,1.76,1.19","0.63,0.5,0.3,0.83",0.0,"31271.2,32283.53,32131.84,30925.15"
19,"2.55,1.05,1.46,1.4","0.27,0.95,0.57,0.69",0.0,"31003.28,31337.37,31558.21,30236.48"
20,"1.71,1.8,1.4,1.33","0.52,0.48,0.6,0.73",0.0,"30487.05,30852.86,30956.33,29502.86"
21,"1.14,7.97,1.31,2.32","0.86,0.0,0.6,0.32",0.0,"29622.73,30852.86,30356.65,29180.72"
22,"4.91,1.55,2.1,1.44","0.05,0.59,0.27,0.66",0.0,"29577.15,30259.59,30087.66,28518.5"
23,"1.14,1.57,1.07,2.48","0.84,0.56,0.91,0.29",0.0,"28732.47,29703.86,29173.36,28233.17"
24,"3.04,2.25,1.44,1.42","0.18,0.33,0.57,0.67",0.0,"28556.17,29376.51,28604.29,27559.5"
25,"1.68,1.63,1.93,1.61","0.52,0.19,0.34,0.57",0.0,"28031.52,29191.36,28264.08,26989.81"
26,"1.48,1.22,1.05,1.7","0.52,0.8,0.88,0.53",0.0,"27511.48,28392.21,27386.34,26461.29"
27,"1.49,1.77,1.6,1.03","0.62,0.45,0.54,0.97",0.0,"26888.04,27939.2,26849.32,25493.7"
28,"1.62,1.9,1.16,1.51","0.56,0.41,0.4,0.62",0.0,"26329.65,27533.52,26447.34,24868.95"
29,"1.28,1.0,1.45,1.16","0.76,0.98,0.53,0.86",0.0,"25572.77,26557.21,25919.64,24009.47"
30,"1.39,1.68,2.5,2.01","0.68,0.53,0.24,0.41",0.0,"24889.39,26023.55,25678.24,23598.78"
31,"1.75,2.43,1.13,3.98","0.5,0.29,0.77,0.09",0.0,"24386.91,25736.21,24908.32,23504.91"
32,"1.54,1.51,1.52,1.44","0.59,0.55,0.53,0.66",0.0,"23799.02,25187.41,24374.68,22844.26"
33,"1.83,1.17,0.45,1.77","0.47,0.73,0.25,0.5",0.0,"23331.53,24455.93,24122.19,22345.73"
34,"1.49,1.46,1.4,1.86","0.63,0.53,0.63,0.46",0.0,"22703.3,23930.59,23489.36,21881.02"
35,"1.1,1.25,0.6,1.18","0.88,0.77,0.76,0.84",0.0,"21819.45,23159.55,22731.35,21037.48"
36,"1.58,1.56,0.38,3.29","0.58,0.59,0.18,0.16",0.0,"21241.6,22570.02,22547.49,20881.73"
37,"1.64,3.1,0.17,3.44","0.48,0.15,0.87,0.14",0.0,"20765.61,22424.56,21673.36,20742.7"
38,"1.38,1.42,2.09,2.09","0.68,0.66,0.36,0.39",0.0,"20086.88,21767.1,21309.79,20357.14"
39,"2.07,1.51,1.74,1.33","0.39,0.61,0.47,0.72",0.0,"19701.18,21152.42,20836.95,19635.79"
40,"1.44,1.95,1.43,1.46","0.66,0.42,0.63,0.65",0.0,"19044.75,20735.58,20203.2,18985.79"
41,"1.69,0.92,0.83,3.81","0.53,0.84,0.99,0.11",0.0,"18514.23,19892.2,19208.84,18879.11"
42,"1.17,1.26,1.56,1.42","0.81,0.68,0.56,0.67",0.0,"17700.65,19216.09,18644.53,18204.96"
43,"1.44,2.02,1.17,2.29","0.63,0.4,0.49,0.33",0.0,"17068.99,18815.94,18155.04,17873.82"
44,"1.03,1.11,1.15,1.15","0.96,0.89,0.78,0.86",0.0,"16105.04,17926.8,17374.27,17010.59"
45,"1.86,1.19,1.74,1.28","0.45,0.72,0.47,0.76",0.0,"15653.6,17204.62,16900.76,16253.43"
46,"1.39,1.27,2.56,1.82","0.66,0.76,0.25,0.48",0.0,"14992.1,16447.44,16647.29,15773.03"
47,"1.19,2.76,2.44,3.66","0.81,0.22,0.25,0.12",0.0,"14182.51,16222.72,16392.63,15654.72"
48,"1.68,1.49,2.55,2.17","0.39,0.55,0.19,0.36",0.0,"13788.43,15675.16,16202.3,15293.44"
49,"1.32,1.12,1.29,1.49","0.73,0.88,0.73,0.64",0.0,"13061.13,14798.37,15469.09,14658.07"
50,"1.0,1.73,0.53,1.47","0.96,0.51,0.9,0.64",0.0,"12102.56,14285.02,14570.5,14017.58"
51,"1.01,1.58,1.1,2.17","0.95,0.57,0.0,0.36",0.0,"11149.22,13715.5,14570.5,13656.43"
52,"1.42,1.26,1.38,2.18","0.65,0.71,0.67,0.36",0.0,"10501.38,13002.51,13901.63,13298.04"
53,"1.07,7.16,1.35,1.25","0.91,0.0,0.4,0.79",0.0,"9593.02,13002.51,13503.87,12508.28"
54,"1.88,1.34,1.26,2.1","0.45,0.7,0.77,0.38",0.0,"9139.51,12306.28,12737.71,12124.28"
55,"2.04,1.93,1.44,3.38","0.4,0.43,0.62,0.15",0.0,"8743.75,11878.89,12113.25,11978.81"
56,"1.36,2.2,2.05,1.41","0.7,0.34,0.37,0.68",0.0,"8047.33,11536.3,11744.16,11296.12"
57,"1.51,1.06,1.13,1.71","0.61,0.84,0.7,0.52",0.0,"7434.06,10694.97,11040.19,10771.42"
58,"2.1,2.33,1.76,1.43","0.38,0.31,0.44,0.67",0.0,"7054.36,10380.1,10599.89,10101.82"
59,"0.82,1.18,1.75,1.54","0.92,0.82,0.47,0.61",0.0,"6138.8,9562.39,10129.75,9494.51"
60,"1.69,2.14,2.16,1.99","0.51,0.35,0.26,0.42",0.0,"5629.29,9211.5,9868.86,9075.7"
61,"2.03,1.14,1.71,3.82","0.4,0.84,0.44,0.11",0.0,"5233.39,8373.81,9426.37,8969.86"
62,"1.42,1.86,1.17,1.2","0.66,0.37,0.82,0.82",0.0,"4573.69,7999.67,8601.87,8145.14"
63,"2.89,1.19,1.05,1.4","0.21,0.77,0.44,0.69",0.0,"4368.53,7230.03,8164.29,7459.65"
64,"1.8,2.46,3.74,1.4","0.47,0.22,0.0,0.69",0.0,"3896.91,7010.31,8164.29,6773.37"
65,"1.79,1.3,2.54,2.23","0.47,0.57,0.23,0.35",0.0,"3423.18,6440.07,7930.03,6426.77"
66,"1.07,1.11,1.91,1.61","0.92,0.88,0.35,0.57",0.0,"2500.15,5561.48,7578.76,5856.71"
67,"1.44,1.57,1.44,1.66","0.65,0.53,0.45,0.55",0.0,"1849.74,5032.8,7126.34,5310.23"
68,"1.43,1.62,0.96,13.92","0.66,0.56,0.99,0.0",0.0,"1185.61,4471.43,6133.76,5310.23"
69,"2.23,1.6,1.7,1.64","0.31,0.56,0.31,0.56",0.0,"876.49,3911.0,5822.55,4751.9"
70,"1.17,2.22,0.92,1.0","0.84,0.33,0.8,1.0",0.0,"40.71,3585.76,5021.27,3751.1"
71,"1.52,1.27,2.01,1.66","0.61,0.76,0.36,0.55",0.25,"0.0,2824.2,4659.93,3202.1"
72,"10.27,1.51,1.38,1.39","0.0,0.62,0.62,0.69",0.25,"0.0,2207.8,4044.58,2511.18"
73,"9.15,2.17,1.61,1.63","0.0,0.32,0.54,0.56",0.25,"0.0,1890.24,3507.31,1947.15"
74,"10.01,1.28,1.65,1.21","0.0,0.74,0.45,0.81",0.25,"0.0,1145.35,3054.17,1134.51"
75,"8.1,1.73,2.07,12.35","0.0,0.5,0.32,0.0",0.25,"0.0,646.69,2738.01,1134.51"
76,"10.22,2.12,1.39,1.3","0.0,0.34,0.56,0.75",0.25,"0.0,303.36,2178.92,383.06"
77,"5.12,1.71,0.07,1.1","0.0,0.52,0.66,0.91",0.75,"0.0,0.0,1519.6,0.0"
78,"10.8,6.91,1.14,13.48","0.0,0.0,0.45,0.0",0.75,"0.0,0.0,1066.4,0.0"
79,"10.58,8.87,1.6,15.83","0.0,0.0,0.53,0.0",0.75,"0.0,0.0,534.34,0.0"
80,"8.87,4.71,1.23,9.91","0.0,0.0,0.77,0.0",1.0,"0.0,0.0,0.0,0.0"
81,"9.97,10.62,5.37,15.35","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
82,"7.99,5.9,3.73,15.29","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
83,"6.72,8.82,5.8,14.96","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
84,"7.04,6.79,1.95,13.65","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
85,"5.98,8.88,5.45,11.58","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
86,"4.72,3.12,3.46,14.21","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
87,"9.93,8.89,4.01,15.13","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
88,"8.74,6.31,4.73,14.2","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
89,"10.46,7.14,1.59,12.59","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
90,"6.38,8.4,2.82,13.36","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
91,"8.8,9.41,1.13,14.28","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
92,"8.13,8.79,4.55,14.99","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
93,"7.24,9.81,5.08,12.53","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
94,"9.79,4.89,2.95,11.56","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
95,"7.71,9.05,4.6,14.05","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
96,"11.43,8.22,3.99,12.72","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
97,"8.85,10.61,4.21,14.42","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
98,"8.56,9.43,2.93,15.06","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
99,"6.95,9.89,5.73,14.94","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
0,"2.03,2.96,0.98,1.4","0.4,0.0,0.96,0.69",0.0,"41999.86,42400.0,41441.53,41711.98"
1,"1.79,1.33,1.44,1.58","0.48,0.68,0.63,0.58",0.0,"41516.74,41720.08,40807.64,41130.91"
2,"1.18,1.31,0.65,1.65","0.84,0.7,0.82,0.55",0.0,"40680.82,41025.07,39984.13,40575.99"
3,"1.4,1.04,1.44,2.22","0.67,0.95,0.61,0.35",0.0,"40006.8,40074.18,39371.55,40228.49"
4,"1.28,1.85,1.4,2.38","0.74,0.45,0.6,0.31",0.0,"39269.61,39626.53,38772.87,39921.24"
5,"1.73,1.04,2.19,1.0","0.51,0.6,0.3,1.0",0.0,"38762.63,39030.78,38472.48,38924.89"
6,"1.06,2.09,1.34,1.15","0.93,0.34,0.68,0.87",0.0,"37830.91,38689.44,37790.22,38057.76"
7,"1.25,3.63,0.22,1.16","0.77,0.09,0.49,0.86",0.0,"37062.51,38599.09,37297.63,37199.74"
8,"2.01,2.2,3.78,1.97","0.41,0.34,0.09,0.42",0.0,"36655.0,38258.24,37204.25,36775.25"
9,"1.18,1.68,0.94,1.8","0.81,0.05,0.99,0.49",0.0,"35845.32,38212.15,36209.52,36285.63"
10,"1.26,1.91,1.33,1.19","0.77,0.43,0.71,0.79",0.0,"35070.72,37782.63,35501.68,35494.54"
11,"1.34,2.64,0.37,1.35","0.69,0.24,0.61,0.71",0.0,"34380.17,37545.34,34893.0,34779.59"
12,"2.36,1.2,1.43,1.25","0.3,0.75,0.5,0.79",0.0,"34077.08,36795.44,34395.8,33990.81"
13,"1.24,3.51,1.67,2.52","0.7,0.13,0.5,0.28",0.0,"33378.75,36666.5,33896.79,33715.46"
14,"1.65,1.6,1.6,1.0","0.52,0.48,0.5,1.0",0.0,"32861.43,36184.9,33393.22,32714.06"
15,"1.52,1.46,1.82,1.81","0.61,0.64,0.41,0.48",0.0,"32247.23,35545.11,32988.09,32230.57"
16,"1.24,3.02,1.92,1.06","0.78,0.19,0.25,0.94",0.0,"31469.42,35357.9,32739.42,31288.6"
17,"1.52,1.74,1.67,1.09","0.61,0.49,0.42,0.92",0.0,"30863.17,34865.53,32315.95,30369.78"
18,"0.99,1.38,1.17,1.4","0.95,0.66,0.8,0.68",0.0,"29912.32,34200.7,31513.61,29686.02"
19,"1.52,2.76,1.33,3.58","0.57,0.19,0.63,0.13",0.0,"29342.2,34013.33,30880.11,29559.89"
20,"1.68,1.26,2.17,2.2","0.53,0.77,0.34,0.35",0.0,"28809.55,33245.99,30541.43,29206.16"
21,"1.69,4.29,1.66,1.36","0.19,0.0,0.5,0.71",0.0,"28622.2,33245.99,30040.31,28493.47"
22,"1.42,1.79,1.23,1.38","0.66,0.47,0.73,0.7",0.0,"27962.5,32771.47,29306.51,27796.66"
23,"1.53,1.77,1.76,3.4","0.59,0.47,0.38,0.14",0.0,"27368.16,32302.38,28930.32,27653.1"
24,"2.69,1.55,1.0,1.16","0.18,0.48,0.9,0.85",0.0,"27186.61,31821.21,28027.22,26798.33"
25,"1.24,2.14,1.07,1.91","0.78,0.34,0.77,0.45",0.0,"26404.12,31480.97,27257.09,26350.36"
26,"2.36,1.45,2.6,2.07","0.31,0.63,0.19,0.39",0.0,"26097.22,30851.9,27069.92,25958.45"
27,"0.62,2.16,1.24,1.54","0.0,0.35,0.76,0.61",0.0,"26097.22,30501.99,26307.95,25348.54"
28,"0.94,2.51,1.7,1.39","0.43,0.27,0.49,0.69",0.0,"25667.96,30227.67,25816.45,24658.24"
29,"2.83,1.25,1.26,1.54","0.21,0.62,0.73,0.61",0.0,"25453.69,29603.52,25082.35,24050.39"
30,"2.33,8.9,1.14,1.15","0.31,0.0,0.75,0.86",0.0,"25140.55,29603.52,24330.0,23186.3"
31,"1.85,1.37,0.94,1.18","0.45,0.65,0.92,0.84",0.0,"24689.71,28950.13,23409.86,22343.91"
32,"3.15,1.46,1.18,3.04","0.16,0.44,0.82,0.19",0.0,"24525.72,28513.26,22593.56,22157.61"
33,"2.43,1.11,1.7,2.05","0.29,0.85,0.49,0.4",0.0,"24233.24,27665.03,22108.41,21757.96"
34,"1.86,2.66,0.86,1.98","0.38,0.24,0.68,0.42",0.0,"23849.26,27426.1,21426.8,21335.08"
35,"1.45,2.07,0.47,1.83","0.62,0.39,0.32,0.48",0.0,"23230.12,27038.14,21102.49,20858.96"
36,"1.19,1.43,2.05,1.49","0.82,0.59,0.2,0.63",0.0,"22410.5,26451.03,20898.34,20224.27"
37,"2.11,3.05,1.13,1.47","0.37,0.18,0.49,0.65",0.0,"22036.84,26271.29,20408.26,19577.12"
38,"1.37,1.8,1.58,1.4","0.69,0.48,0.54,0.69",0.0,"21348.17,25788.76,19864.45,18890.94"
