Step,V2I_rate,V2V_Rate,V2V_success,Remaining_V2V_payload
0,"1.17,1.41,1.57,1.42","0.84,0.66,0.34,0.67",0.0,"41557.76,41741.36,42061.08,41727.72"
1,"7.47,1.83,1.73,1.25","0.01,0.47,0.5,0.79",0.0,"41550.86,41275.1,41562.42,40942.53"
2,"2.36,1.26,1.9,1.0","0.3,0.77,0.42,1.0",0.0,"41248.99,40506.08,41146.31,39940.92"
3,"1.35,1.1,0.96,2.49","0.71,0.88,1.0,0.28",0.0,"40535.98,39622.86,40149.65,39658.3"
4,"1.89,1.2,0.62,1.05","0.45,0.77,0.0,0.95",0.0,"40086.39,38851.49,40149.65,38703.33"
5,"9.62,1.49,2.12,1.36","0.0,0.62,0.34,0.71",0.0,"40086.39,38231.18,39807.9,37992.68"
6,"1.71,8.53,1.24,1.0","0.52,0.0,0.33,1.0",0.0,"39564.04,38231.18,39475.26,36991.12"
7,"1.43,1.51,1.4,3.18","0.65,0.61,0.64,0.17",0.0,"38912.12,37623.03,38839.84,36822.1"
8,"2.11,2.17,1.5,1.73","0.37,0.33,0.59,0.52",0.0,"38537.56,37293.73,38248.63,36306.55"
9,"1.45,3.44,1.27,1.1","0.65,0.13,0.71,0.91",0.0,"37888.47,37168.66,37543.55,35399.06"
10,"1.04,1.55,0.97,1.17","0.92,0.6,0.99,0.84",0.0,"36970.76,36571.1,36549.71,34555.2"
11,"1.38,2.34,1.41,3.25","0.65,0.29,0.66,0.16",0.0,"36318.46,36284.72,35890.48,34395.63"
12,"1.36,1.0,6.3,1.2","0.7,1.0,0.0,0.83",0.0,"35616.02,35288.75,35890.48,33568.34"
13,"1.1,1.67,3.07,1.45","0.88,0.53,0.0,0.66",0.0,"34739.75,34762.0,35890.48,32911.85"
14,"1.73,3.97,1.48,1.61","0.49,0.08,0.51,0.57",0.0,"34251.06,34686.25,35375.79,32337.95"
15,"2.99,2.17,0.93,2.09","0.19,0.34,0.38,0.39",0.0,"34060.62,34349.88,34998.94,31951.4"
16,"2.32,1.72,1.37,2.02","0.29,0.47,0.67,0.41",0.0,"33767.65,33879.81,34324.59,31543.68"
17,"1.2,1.12,4.37,6.37","0.82,0.88,0.0,0.02",0.0,"32950.88,33000.14,34324.59,31526.24"
18,"1.28,2.07,4.27,11.49","0.76,0.38,0.0,0.0",0.0,"32190.34,32617.82,34324.59,31526.24"
19,"1.85,1.0,1.42,14.59","0.34,0.95,0.55,0.0",0.0,"31847.56,31666.2,33769.6,31526.24"
20,"9.63,9.13,1.37,1.0","0.0,0.0,0.0,1.0",0.0,"31847.56,31666.2,33769.6,30524.69"
21,"1.0,1.47,0.98,1.0","1.0,0.64,0.99,1.0",0.0,"30851.4,31028.37,32782.86,29523.2"
22,"1.2,2.58,0.96,3.88","0.82,0.25,0.99,0.1",0.0,"30034.76,30778.37,31791.98,29421.92"
23,"1.0,2.01,0.73,1.72","1.0,0.33,1.0,0.52",0.0,"29037.96,30443.64,30794.23,28900.95"
24,"1.59,6.29,1.91,1.01","0.58,0.0,0.38,0.99",0.0,"28461.63,30443.64,30414.63,27915.02"
25,"1.66,5.19,1.33,1.07","0.54,0.03,0.42,0.93",0.0,"27917.98,30409.45,29995.94,26983.0"
26,"1.02,1.0,0.96,2.12","0.81,0.99,0.83,0.38",0.0,"27112.52,29416.41,29169.32,26605.87"
27,"1.0,9.18,1.78,2.8","1.0,0.0,0.08,0.22",0.0,"26116.0,29416.41,29093.47,26382.41"
28,"1.63,9.82,1.89,1.0","0.56,0.0,0.38,1.0",0.0,"25554.28,29416.41,28717.81,25381.48"
29,"1.37,2.15,1.62,1.0","0.67,0.35,0.41,0.99",0.0,"24882.62,29063.8,28306.54,24390.09"
30,"2.37,1.41,1.62,4.11","0.2,0.6,0.51,0.09",0.0,"24681.17,28468.53,27793.27,24304.18"
31,"1.0,1.75,1.64,2.62","0.38,0.44,0.51,0.25",0.0,"24300.97,28028.54,27280.43,24049.83"
32,"1.38,2.07,1.21,1.0","0.69,0.35,0.54,1.0",0.0,"23609.72,27682.2,26741.09,23048.3"
33,"1.23,1.28,1.46,1.53","0.78,0.75,0.58,0.61",0.0,"22826.62,26933.77,26159.62,22434.18"
34,"1.54,1.15,1.76,1.2","0.39,0.84,0.46,0.83",0.0,"22438.78,26091.88,25699.01,21607.6"
35,"1.09,1.23,1.22,1.46","0.88,0.74,0.79,0.65",0.0,"21554.91,25346.99,24910.87,20954.76"
36,"2.22,1.03,4.64,1.36","0.34,0.82,0.0,0.71",0.0,"21211.19,24525.17,24910.87,20240.05"
37,"9.89,1.01,1.24,1.62","0.0,0.97,0.76,0.57",0.0,"21211.19,23553.13,24155.11,19672.78"
38,"1.0,1.0,3.78,1.9","0.99,0.89,0.0,0.45",0.0,"20224.54,22662.75,24155.11,19223.46"
39,"1.4,1.35,2.57,1.19","0.67,0.71,0.0,0.83",0.0,"19556.96,21947.86,24155.11,18391.45"
40,"1.76,1.0,4.61,1.57","0.5,0.98,0.0,0.59",0.0,"19059.32,20963.56,24155.11,17798.42"
41,"1.02,1.0,0.8,1.69","0.97,0.98,0.99,0.53",0.0,"18090.79,19982.12,23161.73,17264.99"
